,Facility Name,Ownership Major Classification,Ownership Sub-Classification for Government facilities,Region Name,Province,location,Hospital Licensing Status,Service Capability,Bed Capacity,lat,lon,City/Municipality Name,code,codenan
1206,BILIRAN PROVINCIAL HOSPITAL,Government,Local Government Unit,REGION VIII (EASTERN VISAYAS),Biliran,NAVAL,With License,Level 1,75.0,11.5568496,124.3971155,,87808000,0
1207,SAMAR PROVINCIAL HOSPITAL,Government,Local Government Unit,REGION VIII (EASTERN VISAYAS),Samar,CATBALOGAN,With License,Level 1,100.0,11.7735805,124.88597879999999,,86005000,0
1208,BASEY DISTRICT HOSPITAL,Government,Local Government Unit,REGION VIII (EASTERN VISAYAS),Samar,BASEY,With License,Level 1,35.0,11.2792489,125.06514140000002,,86002000,0
1209,ANAHAWAN DISTRICT HOSPITAL,Government,Local Government Unit,REGION VIII (EASTERN VISAYAS),Southern Leyte,ANAHAWAN,With License,Level 1,50.0,10.2744471,125.25743100000001,,86401000,0
1210,OSPA FARMER'S MEDICAL CENTER,Private,,REGION VIII (EASTERN VISAYAS),Leyte,ORMOC,With License,Level 2,100.0,11.0041341,124.61505190000001,,83738000,0
1211,HILONGOS DISTRICT HOSPITAL,Government,Local Government Unit,REGION VIII (EASTERN VISAYAS),Leyte,HILONGOS,With License,Level 1,25.0,10.367548800000002,124.7565989,,83719000,0
1212,"OUR LADY OF PORZIUNCOLA HOSPITAL, INC.",Private,,REGION VIII (EASTERN VISAYAS),Samar,CALBAYOG,With License,Level 2,80.0,12.0686543,124.5961523,,86003000,0
1213,WESTERN LEYTE PROVINCIAL HOSPITAL,Government,Local Government Unit,REGION VIII (EASTERN VISAYAS),Leyte,BAYBAY,With License,Level 1,100.0,10.6805664,124.79799270000001,,83708000,0
1214,MOTHER OF MERCY HOSPITAL,Private,,REGION VIII (EASTERN VISAYAS),Leyte,TACLOBAN,With License,Level 2,50.0,11.2301994,124.99946609999998,,83747000,0
1215,ST. CAMILLUS HOSPITAL,Private,,REGION VIII (EASTERN VISAYAS),Samar,CALBAYOG,With License,Level 1,50.0,12.077992,124.546967,,86003000,0
1216,TACLOBAN DOCTORS MEDICAL CENTER,Private,,REGION VIII (EASTERN VISAYAS),Leyte,TACLOBAN,With License,Level 2,,11.2369101,124.9920822,,83747000,0
1217,TACLOBAN MATERNITY HOSPITAL,Government,Local Government Unit,REGION VIII (EASTERN VISAYAS),Leyte,TACLOBAN,Without License,0,,11.2448246,125.00420359999998,,83747000,0
1218,MAASIN MATERNITY AND CHILDREN HOSPITAL,Private,,REGION VIII (EASTERN VISAYAS),Southern Leyte,MAASIN,With License,Level 1,20.0,10.1334734,124.8436064,,86407000,0
1219,ORMOC DOCTORS HOSPITAL,Private,,REGION VIII (EASTERN VISAYAS),Leyte,ORMOC,With License,Level 2,48.0,11.004951400000001,124.6117777,,83738000,0
1220,ST. SCHOLASTICA'S HOSPITAL,Private,,REGION VIII (EASTERN VISAYAS),Northern Samar,PAMBUJAN,With License,Level 1,10.0,12.552986099999998,124.91226359999999,,84815000,0
1221,ORAS DOCTORS HOSPITAL,Private,,REGION VIII (EASTERN VISAYAS),Eastern Samar,ORAS,With License,Level 1,50.0,12.1277292,125.43475990000002,,82617000,0
1222,"CATARMAN DOCTORS HOSPITAL, INC.",Private,,REGION VIII (EASTERN VISAYAS),Northern Samar,CATARMAN,With License,Level 1,,12.4978597,124.64798,,84805000,0
1223,PONFERRADA POLYMEDIC HOSPITAL,Private,,REGION VIII (EASTERN VISAYAS),Eastern Samar,GUIUAN,With License,Level 1,23.0,42.5499958,-6.598259000000001,,82609000,0
1224,"LIVING HOPE HOSPITAL, INC.",Private,,REGION VIII (EASTERN VISAYAS),Southern Leyte,MAASIN,With License,Level 1,50.0,10.1281239,124.87302350000002,,86407000,0
1225,CHRIST THE HEALER HOSPITAL,Private,,REGION VIII (EASTERN VISAYAS),Southern Leyte,SOGOD,With License,Level 1,30.0,10.3890373,124.98309429999999,,86417000,0
1226,ST. JUDE HOSPITAL,Private,,REGION VIII (EASTERN VISAYAS),Eastern Samar,GUIUAN,With License,Level 1,15.0,11.0288896,125.73105659999999,,82609000,0
1227,"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER - TACLOBAN, INC.",Private,,REGION VIII (EASTERN VISAYAS),Leyte,TACLOBAN,With License,Level 2,100.0,11.2046411,125.00787690000001,,83747000,0
1228,SALCEDO DOCTORS HOSPITAL,Private,,REGION VIII (EASTERN VISAYAS),Eastern Samar,SALCEDO,With License,Level 1,20.0,11.1452085,125.67031909999999,,82619000,0
1229,CATBALOGAN DOCTORS HOSPITAL,Private,,REGION VIII (EASTERN VISAYAS),Samar,CATBALOGAN,With License,Level 1,100.0,11.7735805,124.88597879999999,,86005000,0
1230,GAMAY DOCTORS HOSPITAL,Private,,REGION VIII (EASTERN VISAYAS),Northern Samar,GAMAY,With License,Level 1,25.0,12.3817789,125.2965223,,84807000,0
1231,"TOBIAS FELICIANO FAITH HOSPITAL, INC.",Private,,REGION X (NORTHERN MINDANAO),Misamis Occidental,OZAMIZ,With License,Level 1,78.0,8.150404,123.841559,,104210000,0
1232,BUKIDNON PROVINCIAL MEDICAL CENTER - MALAYBALAY CITY,Government,Local Government Unit,REGION X (NORTHERN MINDANAO),Bukidnon,MALAYBALAY,With License,Level 2,150.0,8.127990299999999,125.1286011,,101312000,0
1233,BUKIDNON PROVINCIAL HOSPITAL - MANOLO FORTICH,Government,Local Government Unit,REGION X (NORTHERN MINDANAO),Bukidnon,MANOLO FORTICH,With License,Level 1,24.0,8.3848098,124.83906640000001,,101314000,0
1234,DR. UY HOSPITAL INC.,Private,,REGION X (NORTHERN MINDANAO),Lanao Del Norte,ILIGAN,With License,Level 2,,8.227288,124.240578,,103504000,0
1235,E & R HOSPITAL AND PHARMACY,Private,,REGION X (NORTHERN MINDANAO),Lanao Del Norte,ILIGAN,With License,Level 2,,37.09024,-95.712891,,103504000,0
1236,GINGOOG SANITARIUM AND HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Misamis Oriental,GINGOOG,With License,Level 1,,8.823938,125.106734,,104308000,0
1237,GREGORIO T. LLUCH MEMORIAL HOSPITAL,Government,Local Government Unit,REGION X (NORTHERN MINDANAO),Lanao Del Norte,ILIGAN,With License,Level 2,119.0,8.225982400000001,124.25448970000001,,103504000,0
1238,ILIGAN MEDICAL CENTER HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Lanao Del Norte,ILIGAN,With License,Level 2,,8.2307509,124.2492872,,103504000,0
1239,J.R. BORJA GENERAL HOSPITAL,Government,Local Government Unit,REGION X (NORTHERN MINDANAO),Misamis Oriental,CAGAYAN DE ORO,With License,Level 1,100.0,8.481508999999999,124.62774399999999,,104305000,0
1240,KAPATAGAN PROVINCIAL HOSPITAL,Government,Local Government Unit,REGION X (NORTHERN MINDANAO),Lanao Del Norte,KAPATAGAN,With License,Level 1,50.0,7.915804499999999,123.7726727,,103505000,0
1241,KOLAMBUGAN PROVINCIAL HOSPITAL,Government,Local Government Unit,REGION X (NORTHERN MINDANAO),Lanao Del Norte,KOLAMBUGAN,With License,Level 1,75.0,8.113948299999999,123.9029033,,103508000,0
1242,"LA VIÑA GENERAL HOSPITAL, INC.",Private,,REGION X (NORTHERN MINDANAO),Bukidnon,VALENCIA,With License,Level 2,,7.907827299999999,125.09223200000001,,101321000,0
1243,MADONNA AND CHILD HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Misamis Oriental,CAGAYAN DE ORO,With License,Level 2,100.0,8.4777273,124.63533159999999,,104305000,0
1244,MALAYBALAY MEDICAL HOSPITAL CARE,Private,,REGION X (NORTHERN MINDANAO),Bukidnon,MALAYBALAY,With License,Level 1,38.0,8.1522978,125.1294051,,101312000,0
1245,MALAYBALAY POLYMEDIC GENERAL HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Bukidnon,MALAYBALAY,With License,Level 2,150.0,8.1486924,125.13194909999999,,101312000,0
1246,MEDIDAS MEDICAL CENTER INC.,Private,,REGION X (NORTHERN MINDANAO),Bukidnon,VALENCIA,With License,Level 1,25.0,7.905059799999999,125.09290459999998,,101321000,0
1247,MEDINA GENERAL HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Misamis Occidental,OZAMIZ,With License,Level 2,200.0,8.1458155,123.84883729999999,,104210000,0
1248,MISAMIS OCCIDENTAL PROVINCIAL HOSPITAL,Government,Local Government Unit,REGION X (NORTHERN MINDANAO),Misamis Occidental,OROQUIETA,With License,Level 2,159.0,8.459526799999999,123.8006496,,104209000,0
1249,ROA MEDICAL CLINIC - SALAY,Private, ,REGION X (NORTHERN MINDANAO),Misamis Oriental,SALAY,Without License,0,,8.8604235,124.7892687,,104322000,0
1250,ST. CLAIRE HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Bukidnon,QUEZON,With License,Level 1,20.0,7.730852199999998,125.09992340000002,,101317000,0
1251,ST. JOSEPH SOUTHERN BUKIDNON HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Bukidnon,MARAMAG,With License,Level 2,56.0,7.7731786,125.00956640000001,,101315000,0
1252,MISAMIS ORIENTAL PROVINCIAL HOSPITAL - TALISAYAN,Government,Local Government Unit,REGION X (NORTHERN MINDANAO),Misamis Oriental,TALISAYAN,With License,Level 1,25.0,8.998178,124.879825,,104325000,0
1253,"BETHEL BAPTIST HOSPITAL, INC.",Private,,REGION X (NORTHERN MINDANAO),Bukidnon,MALAYBALAY,With License,Level 1,75.0,8.1598077,125.1216348,,101312000,0
1254,MISAMIS ORIENTAL PROVINCIAL HOSPITAL - GINGOOG,Government,Local Government Unit,REGION X (NORTHERN MINDANAO),Misamis Oriental,GINGOOG,With License,Level 1,50.0,8.820591,125.1108894,,104308000,0
1255,DOÑA MARIA D. TAN MEMORIAL HOSPITAL,Government,Local Government Unit,REGION X (NORTHERN MINDANAO),Misamis Occidental,TANGUB,With License,Level 1,50.0,8.057137899999999,123.75027630000001,,104215000,0
1256,LIPUNAN HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Misamis Oriental,GINGOOG,With License,Level 1,25.0,8.8235146,125.09713319999999,,104308000,0
1257,MISAMIS ORIENTAL PROVINCIAL HOSPITAL - INITAO,Government,Local Government Unit,REGION X (NORTHERN MINDANAO),Misamis Oriental,INITAO,With License,Level 1,25.0,8.498835099999999,124.30435530000001,,104310000,0
1258,TUBOD COMMUNITY HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Lanao Del Norte,TUBOD,With License,Level 1,40.0,8.041725399999999,123.799877,,103522000,0
1259,KISOLON EMERGENCY HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Bukidnon,SUMILAO,Without License,0,,8.3348646,124.9763838,,101319000,0
1260,VALENCIA MEDICAL HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Bukidnon,VALENCIA,With License,Level 1,20.0,7.911438,125.092794,,101321000,0
1261,FRANCISCA APAO UY MEMORIAL HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Misamis Occidental,JIMENEZ,With License,Level 1,18.0,8.3331071,123.8431196,,104207000,0
1262,ABELLA MIDWAY HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Bukidnon,VALENCIA,With License,Level 1,30.0,7.911218099999998,125.09213179999999,,101321000,0
1263,MISAMIS ORIENTAL PROVINCIAL HOSPITAL- MANTICAO,Government,Local Government Unit,REGION X (NORTHERN MINDANAO),Misamis Oriental,MANTICAO,With License,Level 1,25.0,8.4034481,124.2881048,,104318000,0
1264,PUERTO COMMUNITY HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Misamis Oriental,CAGAYAN DE ORO,With License,Level 1,35.0,8.501560699999999,124.7514781,,104305000,0
1265,LANAO DEL NORTE PROVINCIAL HOSPITAL,Government,Local Government Unit,REGION X (NORTHERN MINDANAO),Lanao Del Norte,BAROY,With License,Level 1,100.0,8.0329172,123.7877346,,103503000,0
1266,MISAMIS UNIVERSITY MEDICAL CENTER,Private,,REGION X (NORTHERN MINDANAO),Misamis Occidental,OZAMIZ,With License,Level 2,100.0,8.1472166,123.8185936,,104210000,0
1267,MARANDING COMMUNITY HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Lanao Del Norte,LALA,With License,Level 1,50.0,7.922997700000002,123.7762364,,103509000,0
1268,"MERCY COMMUNITY HOSPITAL, INC.",Private,,REGION X (NORTHERN MINDANAO),Lanao Del Norte,ILIGAN,With License,Level 2,95.0,8.2152041,124.231427,,103504000,0
1269,BUKIDNON PROVINCIAL HOSPITAL - MARAMAG,Government,Local Government Unit,REGION X (NORTHERN MINDANAO),Bukidnon,MARAMAG,With License,Level 2,130.0,7.764239999999999,125.00858000000001,,101315000,0
1270,BONGCAS HOLY CHILD HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Bukidnon,MARAMAG,With License,Level 1,58.0,7.758063600000002,125.00186140000001,,101315000,0
1271,CAMP EVANGELISTA STATION HOSPITAL,Government,Department of National Defense,REGION X (NORTHERN MINDANAO),Misamis Oriental,CAGAYAN DE ORO,With License,Level 1,100.0,8.4937746,124.6234842,,104305000,0
1272,BONTILAO COUNTRY HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Lanao Del Norte,LALA,With License,Level 1,,7.926604800000002,123.77319320000001,,103509000,0
1273,BUKIDNON PROVINCIAL HOSPITAL - KIBAWE,Government,Local Government Unit,REGION X (NORTHERN MINDANAO),Bukidnon,KIBAWE,With License,Level 1,25.0,7.571390999999998,124.9921442,,101308000,0
1274,DON CARLOS DOCTORS HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Bukidnon,DON CARLOS,With License,Level 2,,7.6796,124.9959719,,101304000,0
1275,SIMBULAN STO. NIÑO HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Bukidnon,DON CARLOS,With License,Level 1,48.0,7.681614899999999,124.9966371,,101304000,0
1276,AZNAR MEDICAL CLINIC,Private, ,REGION X (NORTHERN MINDANAO),Bukidnon,MARAMAG,Without License,0,,7.762999999999999,125.005,,101315000,0
1277,PALANGAN FAMILY AND CHILDRENS CLINIC,Private, ,REGION X (NORTHERN MINDANAO),Bukidnon,KALILANGAN,Without License,0,,7.744272399999999,124.749218,,101307000,0
1278,OZAMIZ CITY ST. JOSEPH GENERAL HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Misamis Occidental,OZAMIZ,With License,Level 1,20.0,8.145344900000001,123.84401670000001,,104210000,0
1279,CALAMBA DISTRICT HOSPITAL,Government,Local Government Unit,REGION X (NORTHERN MINDANAO),Misamis Occidental,CALAMBA,With License,Level 1,50.0,8.5586255,123.63525209999999,,104204000,0
1280,SAINT THERESE HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Misamis Occidental,OROQUIETA,With License,Level 1,20.0,8.4807455,123.80427720000002,,104209000,0
1281,"ADVENTIST MEDICAL CENTER-VALENCIA CITY, INC.",Private,,REGION X (NORTHERN MINDANAO),Bukidnon,VALENCIA,With License,Level 2,100.0,7.912213799999999,125.0923303,,101321000,0
1282,CAMIGUIN GENERAL HOSPITAL,Government,Local Government Unit,REGION X (NORTHERN MINDANAO),Camiguin,MAMBAJAO,With License,Level 1,100.0,9.248446000000001,124.721526,,101804000,0
1283,S.M. LAO MEMORIAL CITY GENERAL HOSPITAL,Government,Local Government Unit,REGION X (NORTHERN MINDANAO),Misamis Occidental,OZAMIZ,With License,Level 1,50.0,8.154047,123.85447250000001,,104210000,0
1284,PHILLIPS MEMORIAL HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Bukidnon,MANOLO FORTICH,With License,Level 2,75.0,8.3259024,124.81749769999999,,101314000,0
1285,CAGAYAN DE ORO MATERNITY CHILDREN'S HOSPITAL AND PUERICULTURE CENTER,Private,,REGION X (NORTHERN MINDANAO),Misamis Oriental,CAGAYAN DE ORO,With License,Level 1,,8.4761461,124.64230990000001,,104305000,0
1286,CAGAYAN DE ORO MEDICAL CENTER,Private,,REGION X (NORTHERN MINDANAO),Misamis Oriental,CAGAYAN DE ORO,With License,Level 2,,8.4855159,124.647058,,104305000,0
1287,ANDOT MEDICAL CLINIC,Private,,REGION X (NORTHERN MINDANAO),Lanao Del Norte,BACOLOD,With License,Level 1,25.0,8.190166999999999,124.05005700000001,,103501000,0
1288,"CAPITOL UNIVERSITY MEDICAL CENTER FOUNDATION OF CAGAYAN, INC.",Private,,REGION X (NORTHERN MINDANAO),Misamis Oriental,CAGAYAN DE ORO,With License,Level 2,,8.4790719,124.67279779999998,,104305000,0
1289,OLEGARIO GENERAL HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Misamis Occidental,CLARIN,With License,Level 1,25.0,8.2055182,123.8541237,,104205000,0
1290,"MAYOR HILARION A. RAMIRO, SR., MEDICAL CENTER",Government,Department Of Health,REGION X (NORTHERN MINDANAO),Misamis Occidental,OZAMIZ,With License,Level 2,150.0,8.169785000000001,123.857918,,104210000,0
1291,NORTHERN MINDANAO MEDICAL CENTER,Government,Department Of Health,REGION X (NORTHERN MINDANAO),Misamis Oriental,CAGAYAN DE ORO,With License,Level 3,300.0,8.485882400000001,124.6494494,,104305000,0
1292,"SABAL HOSPITAL, INC.",Private,,REGION X (NORTHERN MINDANAO),Misamis Oriental,CAGAYAN DE ORO,With License,Level 1,55.0,8.4861212,124.6479459,,104305000,0
1293,MISAMIS ORIENTAL PROVINCIAL HOSPITAL - BALINGASAG,Government,Local Government Unit,REGION X (NORTHERN MINDANAO),Misamis Oriental,BALINGASAG,With License,Level 1,50.0,8.7424989,124.77361699999999,,104302000,0
1294,MARIA REYNA-XAVIER UNIVERSITY HOSPITAL INC.,Private,,REGION X (NORTHERN MINDANAO),Misamis Oriental,CAGAYAN DE ORO,With License,Level 3,130.0,8.475608900000001,124.6549129,,104305000,0
1295,DR. GATCHALIAN CLINIC,Private, ,REGION X (NORTHERN MINDANAO),Lanao Del Norte,KAPATAGAN,Without License,0,,7.9016765000000015,123.77000259999998,,103505000,0
1296,CLINICA OZARAGA DOCTORS HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Misamis Occidental,BONIFACIO,With License,Level 1,,8.0488135,123.62007140000001,,104203000,0
1297,"ADVENTIST MEDICAL CENTER - ILIGAN CITY, INC.",Private,,REGION X (NORTHERN MINDANAO),Lanao Del Norte,ILIGAN,With License,Level 2,130.0,8.240954799999999,124.24720009999999,,103504000,0
1298,CAGAYAN DE ORO POLYMEDIC GENERAL HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Misamis Oriental,CAGAYAN DE ORO,With License,Level 2,,8.482460999999999,124.64565230000001,,104305000,0
1299,"ST. MARYS MATERNITY AND CHILDRENS HOSPITAL, INC",Private,,REGION X (NORTHERN MINDANAO),Lanao Del Norte,ILIGAN,With License,Level 1,50.0,8.2285617,124.24207630000001,,103504000,0
1300,TAGOLOAN POLYMEDIC GENERAL HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Misamis Oriental,TAGOLOAN,With License,Level 2,50.0,8.550320900000001,124.76597040000001,,104324000,0
1301,ST. JUDE THADDEUS GENERAL HOSPITAL (SJTGH),Private,,REGION X (NORTHERN MINDANAO),Bukidnon,MALAYBALAY,With License,Level 1,50.0,8.1549535,125.1298863,,101312000,0
1302,ASENTISTA DOCTORS HOSPITAL AND LABORATORY,Private,,REGION X (NORTHERN MINDANAO),Lanao Del Norte,LALA,With License,Level 1,21.0,7.922633699999999,123.7710956,,103509000,0
1303,"SUSANO UY MEMORIAL HOSPITAL, INC.",Private, ,REGION X (NORTHERN MINDANAO),Misamis Occidental,LOPEZ JAENA,Without License,0,,8.530775,123.75048600000001,,104208000,0
1304,CAGAYAN DE ORO POLYMEDIC MEDICAL PLAZA,Private,,REGION X (NORTHERN MINDANAO),Misamis Oriental,CAGAYAN DE ORO,With License,Level 2,,8.482460999999999,124.64565230000001,,104305000,0
1305,PANGANTUCAN MEDICAL HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Bukidnon,PANGANTUCAN,With License,Level 1,16.0,7.832490200000001,124.82952309999999,,101316000,0
1306,ST. AUGUSTINE HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Misamis Occidental,PLARIDEL,With License,Level 1,20.0,8.616065599999999,123.7162256,,104212000,0
1307,VALENCIA POLYMEDIC GENERAL HOSPITAL,Private,,REGION X (NORTHERN MINDANAO),Bukidnon,VALENCIA,With License,Level 1,148.0,7.914716900000001,125.0921264,,101321000,0
1308,COMPOSTELA VALLEY PROVINCIAL HOSPITAL - PANTUKAN,Government,Local Government Unit,REGION XI (DAVAO REGION),Compostela Valley,PANTUKAN,With License,Level 1,25.0,7.1272929000000005,125.89579760000001,,118211000,0
1309,DAVAO REGIONAL MEDICAL CENTER,Government,Department Of Health,REGION XI (DAVAO REGION),Davao Del Norte,TAGUM,With License,Level 3,600.0,7.4212841,125.8288327,,112319000,0
1310,SOUTHERN PHILIPPINES MEDICAL CENTER,Government,Department Of Health,REGION XI (DAVAO REGION),Davao Del Sur,DAVAO,With License,Level 3,1200.0,7.0983727,125.6198369,,112402000,0
1311,"CENTENO MEDICAL SPECIALISTS HOSPITAL, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Sur,BANSALAN,With License,Level 1,,6.7908497,125.2055655,,112401000,0
1312,ESPIRITU MEDICAL CLINIC AND HOSPITAL,Private, ,REGION XI (DAVAO REGION),Davao Del Norte,SANTO TOMAS,Without License,0,,7.5281270000000005,125.6234742,,112318000,0
1313,VIACRUCIS MEDICAL HOSPITAL,Private,,REGION XI (DAVAO REGION),Davao Del Sur,BANSALAN,With License,Level 1,78.0,6.787567500000001,125.2101463,,112401000,0
1314,"CAINGLET MEDICAL HOSPITAL, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Norte,PANABO,With License,Level 1,,7.3142916,125.68676869999999,,112315000,0
1315,DAVAO MEDIQUEST HOSPITAL,Private,,REGION XI (DAVAO REGION),Davao Del Sur,DAVAO,With License,Level 1,,7.0114372000000005,125.48957490000001,,112402000,0
1316,"DOMINICAN HOSPITAL, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Sur,DIGOS,With License,Level 1,,6.7574309999999995,125.35227900000001,,112403000,0
1317,SUNGA HOSPITAL,Private,,REGION XI (DAVAO REGION),Davao Del Sur,DIGOS,With License,Level 1,50.0,6.741736,125.355296,,112403000,0
1318,BISHOP JOSEPH REGAN MEMORIAL HOSPITAL,Private,,REGION XI (DAVAO REGION),Davao Del Norte,TAGUM,With License,Level 2,,7.447403200000001,125.8126558,,112319000,0
1319,SAN PEDRO HOSPITAL OF DAVAO CITY INC.,Private,,REGION XI (DAVAO REGION),Davao Del Sur,DAVAO,With License,Level 3,295.0,7.0790356,125.6149564,,112402000,0
1320,DAVAO DEL SUR PROVINCIAL HOSPITAL,Government,Local Government Unit,REGION XI (DAVAO REGION),Davao Del Sur,DIGOS,With License,Level 2,100.0,6.743889599999998,125.36136869999999,,112403000,0
1321,"MALTA MEDICAL CENTER, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Sur,DAVAO,With License,Level 1,24.0,7.023509,125.5016884,,112402000,0
1322,"SOUTH DAVAO MEDICAL SPECIALISTS HOSPITAL, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Sur,PADADA,With License,Level 1,78.0,6.6479276999999986,125.3468183,,112411000,0
1323,ISAAC T. ROBILLO MEMORIAL HOSPITAL,Private,,REGION XI (DAVAO REGION),Davao Del Sur,DAVAO,With License,Level 1,,7.177812200000001,125.46657240000002,,112402000,0
1324,"DIGOS DOCTORS' HOSPITAL, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Sur,DIGOS,With License,Level 2,,6.7641399999999985,125.354956,,112403000,0
1325,PANABO POLYMEDIC HOSPITAL INC.,Private,,REGION XI (DAVAO REGION),Davao Del Norte,PANABO,With License,Level 2,105.0,7.303343799999999,125.6789268,,112315000,0
1326,BARON-YEE HOSPITAL,Private,,REGION XI (DAVAO REGION),Davao Del Sur,PADADA,With License,Level 1,49.0,6.63807,125.34439499999999,,112411000,0
1327,MEDICAL MISSION GROUP OF HOSPITAL AND HEALTH SERVICES COOPERATIVE OF TAGUM CITY,Private,,REGION XI (DAVAO REGION),Davao Del Norte,TAGUM,With License,Level 2,150.0,7.4324746999999975,125.7954348,,112319000,0
1328,DAVAO DEL NORTE HOSPITAL - CARMEN ZONE,Government,Local Government Unit,REGION XI (DAVAO REGION),Davao Del Norte,CARMEN,With License,Level 1,25.0,7.4151175999999985,125.6186249,,112303000,0
1329,"ANDA RIVERVIEW MEDICAL CENTER, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Sur,DAVAO,With License,Level 2,,7.0651484,125.60550390000002,,112402000,0
1330,DAVAO DEL NORTE HOSPITAL - KAPALONG ZONE,Government,Local Government Unit,REGION XI (DAVAO REGION),Davao Del Norte,KAPALONG,With License,Level 1,25.0,7.6235667000000005,125.72423500000001,,112305000,0
1331,ALTERADO GENERAL HOSPITAL,Private,,REGION XI (DAVAO REGION),Davao Del Sur,DAVAO,With License,Level 2,,7.0869515,125.63213200000001,,112402000,0
1332,DAVAO ORIENTAL PROVINCIAL HOSPITAL-LUPON,Government,Local Government Unit,REGION XI (DAVAO REGION),Davao Oriental,LUPON,With License,Level 1,25.0,6.8952339999999985,126.0223861,,112507000,0
1333,ZARSONA MEDICAL CLINIC,Private, ,REGION XI (DAVAO REGION),Davao Del Sur,BANSALAN,Without License,0,,6.7746141999999985,125.21759440000001,,112401000,0
1334,JOSE J. GOLINGAY GENERAL HOSPITAL INC.,Private,,REGION XI (DAVAO REGION),Davao Del Sur,MALALAG,With License,Level 1,50.0,6.5875873999999985,125.40335790000002,,112408000,0
1335,"ALFONSO G. LLANOS HOSPITAL, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Sur,DIGOS,With License,Level 1,92.0,6.759914299999998,125.3564383,,112403000,0
1336,"HOLY SPIRIT COMMUNITY HOSPITAL OF DAVAO, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Sur,DAVAO,With License,Level 1,30.0,7.089404999999998,125.50493429999999,,112402000,0
1337,MEDICAL MISSION GROUP HOSPITAL AND HEALTH SERVICES COOPERATIVE  OF DAVAO CITY,Private,,REGION XI (DAVAO REGION),Davao Del Sur,DAVAO,With License,Level 2,80.0,7.0764201,125.62517290000001,,112402000,0
1338,"ADVENTIST HOSPITAL - DAVAO, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Sur,DAVAO,With License,Level 2,75.0,7.060128,125.55505159999998,,112402000,0
1339,COMPOSTELA VALLEY PROVINCIAL HOSPITAL - MONTEVISTA,Government,Local Government Unit,REGION XI (DAVAO REGION),Compostela Valley,MONTEVISTA,With License,Level 1,25.0,7.725835000000001,125.99109820000001,,118208000,0
1340,"GONZALES MARANAN MEDICAL CENTER, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Sur,DIGOS,With License,Level 2,,6.756944,125.354304,,112403000,0
1341,DAVAO DOCTORS HOSPITAL,Private,,REGION XI (DAVAO REGION),Davao Del Sur,DAVAO,With License,Level 3,,7.0701687999999985,125.60415719999999,,112402000,0
1342,"SOMOSO GENERAL HOSPITAL, INCORPORATED",Private,,REGION XI (DAVAO REGION),Davao Del Norte,PANABO,With License,Level 1,34.0,7.304446400000002,125.6845486,,112315000,0
1343,TAGUM DOCTORS HOSPITAL,Private,,REGION XI (DAVAO REGION),Davao Del Norte,TAGUM,With License,Level 2,100.0,7.434494,125.80006599999999,,112319000,0
1344,"RIVERA MEDICAL CENTER, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Norte,PANABO,With License,Level 2,173.0,7.3128790000000015,125.685534,,112315000,0
